id,invoice_id,line_id,date_key,customer_id,product_id,quantity,amount,tax_amount,net_amount,payment_terms,delivery_status,created_at
cdf3bacb-553e-47a8-860e-5a0945b7c188,89d84889-a8e1-496c-b029-f47cc0b6823f,054bb24b-6c5d-41a7-b965-ac9ee9b7301e,2025-11-13,ee050b45-8c17-4d06-ba05-a7f64ed04dab,,1,1172500,0.00000000000000000000,1172500.00000000000000000000,,Delivered,2026-06-18 23:55:42.102791+00
264cffef-e7a3-494c-9f38-84c07455281b,a0b08fd1-20f2-4897-8210-dfd16ef62846,6fffc427-048c-4a3e-8ed6-7075650dabf1,2024-11-14,71be3019-2872-4e46-9e8f-941663554ca2,,1,1110000,0.00000000000000000000,1110000.00000000000000000000,,Delivered,2026-06-18 23:55:42.102791+00
2ddcf6b8-0c15-4067-bda3-c7e262437557,1b89b5f5-1dfa-4f7d-af1a-2803ce654910,865a172f-07b6-431b-b820-00119f380b25,2024-10-06,7f074738-5a84-4e01-9226-9a0acb1a86d8,,1,1042500,0.00000000000000000000,1042500.00000000000000000000,,Delivered,2026-06-18 23:55:42.102791+00
7c418542-0373-48af-b11f-e8be52514f56,663545fa-b7ba-4751-88ed-665b9147c6b0,a5f5cd1a-9de1-4ee9-8f94-ac9a1e177328,2024-10-10,9afccd26-29ec-49e6-a7e3-cc474a13274b,,1,1038000,0.00000000000000000000,1038000.00000000000000000000,,Delivered,2026-06-18 23:55:42.102791+00
f8c910e1-012f-43fe-9346-1330bd36a484,ff638d4a-0884-4d42-9038-e656bb704bea,12a009e3-f60b-4cac-8b2c-c91f40ba0197,2025-06-10,7278af2d-7018-4d13-bb4d-1b35f4307714,,1,1012500,0.00000000000000000000,1012500.00000000000000000000,,Delivered,2026-06-18 23:55:42.102791+00
87a06fbe-88c0-45fa-89a2-91e0ca52b2f8,ffc9a9a1-f3a4-446e-bd07-cf8254937987,875ef20d-c236-495b-bdc9-f6e984356044,2025-03-14,ee050b45-8c17-4d06-ba05-a7f64ed04dab,,1,1004999,0.00000000000000000000,1004999.00000000000000000000,,Delivered,2026-06-18 23:55:42.102791+00
4685d7a8-98a8-4d25-9e95-f0486d905c2a,f4febdeb-2a6a-456f-90d5-ea9836bd6577,7d778e01-945b-4798-8ae5-d46795ffbe64,2025-10-19,c6e017b2-c27d-4969-95de-8284a705a232,,1,963899,0.00000000000000000000,963899.00000000000000000000,,Delivered,2026-06-18 23:55:42.102791+00
660206ed-a95d-4f7a-a2d7-973f29e0a39f,3c79215d-fba9-4e70-8ce2-f9d0f7f67475,f9bbbc11-694b-4e3e-a070-ec3a6ea2deb4,2024-11-05,ee050b45-8c17-4d06-ba05-a7f64ed04dab,,1,955000,0.00000000000000000000,955000.00000000000000000000,,Delivered,2026-06-18 23:55:42.102791+00
de961c75-29ee-4046-9ee0-d817966b63ea,aa7c0276-927b-4d22-b1d1-64504e2bacac,9f13d0c8-cf69-4828-b93b-8149ae06626a,2026-02-27,71be3019-2872-4e46-9e8f-941663554ca2,8dedb270-a04f-4214-b29c-c4bc4f2f78c7,300,26850,0.00000000000000000000,26850.00000000000000000000,15 Days,Pending,2026-06-18 23:55:42.102791+00
806f9bfa-f8e0-4048-b572-fd23e76f8b66,aa7c0276-927b-4d22-b1d1-64504e2bacac,32d1de58-4c2b-4b21-afb4-f30a7802a8e1,2026-02-27,71be3019-2872-4e46-9e8f-941663554ca2,8dedb270-a04f-4214-b29c-c4bc4f2f78c7,5000,447500,0.00000000000000000000,447500.00000000000000000000,15 Days,Pending,2026-06-18 23:55:42.102791+00
795ca088-b8a5-420a-90e4-3a3ea76766c8,a32738aa-9ce9-42c3-bb0b-ba318314dd9f,2156960d-b32b-4263-825d-7b4566fd8dd7,2026-02-27,628bcaf4-621f-4082-9aff-5ac50eb5f547,791dab05-effd-43cd-842b-2eca9a776288,2000,260000,0.00000000000000000000,260000.00000000000000000000,Cash Payment,Pending,2026-06-18 23:55:42.102791+00
608d2dfd-bf6c-4c3f-ab6f-6c7bb8baeebe,8461d027-bf15-43af-be76-aef6694d5c25,647bd9b9-346c-48e6-80f0-e61ed52a2202,2026-02-27,46259c13-632d-449f-a96f-f1deab0e0046,791dab05-effd-43cd-842b-2eca9a776288,3200,416000,0.00000000000000000000,416000.00000000000000000000,Immediate Payment,Pending,2026-06-18 23:55:42.102791+00
2eadb040-02f3-4da4-ad36-30a90b1335ed,912fd5ce-f565-4127-b729-225ef5c56bbc,4bb978c6-613f-4703-9cb1-71b41d8f922d,2026-02-16,71be3019-2872-4e46-9e8f-941663554ca2,,1,937750,0.00000000000000000000,937750.00000000000000000000,,Delivered,2026-06-18 23:55:42.102791+00
16a91bb6-bb67-441a-a150-9e92b0e4e22d,fcf3c81a-ae98-48b6-8b54-4fa24815c0f3,03ee3981-b433-4f95-9d32-1ee00717cf3a,2024-07-17,e0127f48-7045-4fdc-b308-c030eb515cc1,,1,937500,0.00000000000000000000,937500.00000000000000000000,,Delivered,2026-06-18 23:55:42.102791+00
f2869deb-d9e9-459b-a6dc-349ce623c680,b7aca8d6-a52a-4b56-86ac-cf9b53a1d9af,ea78c4ee-0aad-49a0-aadc-6aed2c61f15f,2026-02-27,b077f4f7-954e-4c70-935a-84ea00d1f006,10d5d88b-c74f-4e99-8435-ee1690d6c047,1000,89500,0.00000000000000000000,89500.00000000000000000000,15 Days,Pending,2026-06-18 23:55:42.102791+00
8b9d9675-7507-42a5-a42e-a408d6d31c9b,b7aca8d6-a52a-4b56-86ac-cf9b53a1d9af,3682b0fb-536a-4b12-adb8-707f5b6bc5e2,2026-02-27,b077f4f7-954e-4c70-935a-84ea00d1f006,10d5d88b-c74f-4e99-8435-ee1690d6c047,4000,358000,0.00000000000000000000,358000.00000000000000000000,15 Days,Pending,2026-06-18 23:55:42.102791+00
cf6a6e5d-e6fa-4332-bc41-843ddfdd61c5,1642642a-d008-43da-8cc9-4109c0ec3f89,85ab1e89-e122-46cb-84e4-d1d12f1a64f4,2026-02-27,1e8b0fdf-a882-4a38-bf4a-36f1d58a0898,10d5d88b-c74f-4e99-8435-ee1690d6c047,1000,89500,0.00000000000000000000,89500.00000000000000000000,15 Days,Pending,2026-06-18 23:55:42.102791+00
07fa7d58-aa55-4be6-9026-9b57a71924e8,1642642a-d008-43da-8cc9-4109c0ec3f89,3431feab-1d04-4f4e-8647-b7b1f7263747,2026-02-27,1e8b0fdf-a882-4a38-bf4a-36f1d58a0898,10d5d88b-c74f-4e99-8435-ee1690d6c047,4000,358000,0.00000000000000000000,358000.00000000000000000000,15 Days,Pending,2026-06-18 23:55:42.102791+00
1c446de0-f352-4fa0-9e7e-7ecd6147f2bf,fc484bc3-25d3-4153-adea-29e38464a16f,39f72c65-18e4-4464-a3cd-086fa593bb6b,2026-02-27,ad9a5ae4-bea9-4ae4-ac63-464ff555e655,10d5d88b-c74f-4e99-8435-ee1690d6c047,500,44750,0.00000000000000000000,44750.00000000000000000000,Cash Payment,Pending,2026-06-18 23:55:42.102791+00
33e2c6b9-8e91-41ca-806c-dd335ab2db5c,fc484bc3-25d3-4153-adea-29e38464a16f,947d99dc-1d4b-4a9b-9559-d795a500ea03,2026-02-27,ad9a5ae4-bea9-4ae4-ac63-464ff555e655,10d5d88b-c74f-4e99-8435-ee1690d6c047,2000,179000,0.00000000000000000000,179000.00000000000000000000,Cash Payment,Pending,2026-06-18 23:55:42.102791+00
19ba7dbe-2f16-4c57-bc91-a9c90518a7bd,bf6ee54b-95ca-47d7-a4ee-ae7180a50d5c,50ee81bc-9c56-487d-a81e-6e529aa1d311,2026-02-27,9c8577e0-bac5-40ed-ab97-d69d5aadb619,8dedb270-a04f-4214-b29c-c4bc4f2f78c7,2040,239700,0.00000000000000000000,239700.00000000000000000000,7 Days,Pending,2026-06-18 23:55:42.102791+00
44d6744b-f46f-4cc5-934e-6fbf37513bd0,eb666b0d-5c1d-41c7-aff9-d8c4bed77e24,6554e943-0157-4146-af12-66f71bb094d9,2026-02-27,2df9cb4d-3931-42d6-b71e-03529a9850cb,38174f51-c225-4f30-b257-fb55cbbd5424,7380,16286.184,0.00000000000000000000,16286.18400000000000000000,Cash Payment,Pending,2026-06-18 23:55:42.102791+00
