id,bill_id,line_id,date_key,vendor_id,product_id,quantity,amount,tax_amount,net_amount,created_at
34ee1ae0-299c-482f-a415-8c25300c7b8d,a1588818-ff22-4879-8023-e128173c92d5,bbefd042-0f4b-4b45-b83d-c21ca2f4aac9,2025-11-08,be6aebf8-8a0f-4527-a9d4-d94f09f3c93a,,1,1046690,0,1046690,2026-06-18 23:55:42.102791+00
a8e89071-b0b2-49bf-90cf-1f6737a4224c,ad01bc41-99d5-4963-ae62-5c878a0b2c9d,5a028887-73b7-42a6-ac0a-6373a64c552e,2025-07-16,b2870852-b36e-4a96-8048-b6adeb597deb,,1,2043791,0,2043791,2026-06-18 23:55:42.102791+00
c46b5574-6d96-4caf-a929-3ca1aed9e2cc,13d353cf-a10b-4f3a-8af2-9017b4e112df,d9dea1e9-a670-475e-89e3-7a95eb0f38cb,2024-11-18,b2870852-b36e-4a96-8048-b6adeb597deb,,1,2912682,0,2912682,2026-06-18 23:55:42.102791+00
6af29987-9a8e-4111-ae79-44b301212441,9e39da27-6a2a-49cc-a90b-9857723a01dd,f531ed45-206e-45d8-affe-3c00c2f1bd71,2025-07-04,b21d4cc7-0760-4deb-8ee6-fba3b4884487,,1,3392344,0,3392344,2026-06-18 23:55:42.102791+00
20b6b3f1-7e06-4e95-8c75-6f9f9c0fb30a,04e0d3ff-5646-4b60-ad9a-c8a6755249bc,237fbab9-7a80-4ff4-9d75-0fef502ea6b8,2025-12-17,b21d4cc7-0760-4deb-8ee6-fba3b4884487,,1,3303986,0,3303986,2026-06-18 23:55:42.102791+00
cda5c80c-6407-4769-bb0e-e19c958e4209,12b92ba8-14a7-4e0f-af9b-d73beababbbb,443fd36e-8662-497b-bb8d-a3e08f1e9fd3,2024-11-14,b2870852-b36e-4a96-8048-b6adeb597deb,,1,2895371,0,2895371,2026-06-18 23:55:42.102791+00
ac68e9e3-0c7e-4cfe-a6b4-fbcaea4e1bf6,72bb24b2-82b6-4bc1-b5d1-d88fab687906,e8173fb3-6e8b-4a01-a7a3-4c4ca13ad429,2025-05-27,26140a18-49d5-4266-9f8c-8f7e25c7f70b,,1,2201563,0,2201563,2026-06-18 23:55:42.102791+00
4b48f7e8-c8b9-44e7-bb72-74c50f4b0c7b,fe5a2d4b-efc4-4af8-9061-a9c66f778d51,53c27cbc-c6bb-4580-aed9-646eaefa7bf2,2025-06-20,b21d4cc7-0760-4deb-8ee6-fba3b4884487,,1,3478962,0,3478962,2026-06-18 23:55:42.102791+00
8b3da5bf-296e-4d9f-b23b-3778b03b0b40,7f5f6372-f740-4d9f-96ca-89ae1112a44f,2db3bebf-9ef6-4a2c-93eb-01c50014fd63,2025-08-22,b21d4cc7-0760-4deb-8ee6-fba3b4884487,,1,2697551,0,2697551,2026-06-18 23:55:42.102791+00
5a3dea93-292c-41aa-9179-27866512840a,771f12e1-a03c-4fe2-94b3-c224720dfc2c,fb4ff16d-dea1-4ac5-a80c-86e03ef1b624,2025-03-04,0cadaeab-aab5-418e-ae3f-0d303a1f2c1b,,1,433125,0,433125,2026-06-18 23:55:42.102791+00
96c0125a-b8c6-411b-be16-7fcce77840da,423d2033-575b-43a1-b3df-77fb42ea6bce,54f5869a-460b-4e83-a1eb-be7404f425f4,2025-06-02,b21d4cc7-0760-4deb-8ee6-fba3b4884487,,1,3145280,0,3145280,2026-06-18 23:55:42.102791+00
607c2437-d015-4197-96b4-6f92fe2b95f2,4cef2181-aa1c-461e-bc49-ae600c73dcfb,94cbca53-d960-4146-bfc1-49430b55d302,2025-02-18,0cadaeab-aab5-418e-ae3f-0d303a1f2c1b,,1,972440,0,972440,2026-06-18 23:55:42.102791+00
e21c64da-aee1-4afb-9928-a7cc51300d94,ecefdfa3-b6dd-41b8-99bb-ba43c4373692,e57b694c-8917-4665-9198-f9be71828739,2025-07-23,b21d4cc7-0760-4deb-8ee6-fba3b4884487,,1,2049244,0,2049244,2026-06-18 23:55:42.102791+00
1b4c6187-7345-469f-815a-dc56c83a97bc,8f0759b0-fcec-4174-ae64-5d9501206fae,c877cce2-73d9-4e8c-a42e-f43db549e27d,2025-02-25,0cadaeab-aab5-418e-ae3f-0d303a1f2c1b,,1,434125,0,434125,2026-06-18 23:55:42.102791+00
ade3b66d-cee0-4112-a573-e0ec5d10405b,4f4322e1-cb1b-478a-ae3e-d7f0ff6c95bf,9c71d1a4-bff3-4f05-b3cb-7981ad937eb5,2025-03-04,0cadaeab-aab5-418e-ae3f-0d303a1f2c1b,,1,118125,0,118125,2026-06-18 23:55:42.102791+00
826fc0ac-04d8-411c-9794-f11bfd3214ac,c9988221-2d1a-4d74-80fb-cdd203ea1415,a72bbd8f-fdab-41bd-b3da-66332edbc591,2024-07-16,51332947-ad36-4289-b3a3-d4f7943bffb8,,1,999225,0,999225,2026-06-18 23:55:42.102791+00
d32affd5-a057-4c9a-93b5-4bba750b5a3b,3d10ebf2-8bb8-4ea6-b0e3-b382b02f58f4,f25efbc2-5f0c-4632-87d4-f333fddb573b,2024-08-09,0cadaeab-aab5-418e-ae3f-0d303a1f2c1b,,1,900000,0,900000,2026-06-18 23:55:42.102791+00
