id,name,type,category_id,cost,sales_price,created_at,modified_at,can_be_sold,can_be_purchased,uom,barcode,internal_notes,weight,volume,is_active,modified_by,description,image_url,deleted_at
faef43f5-501b-4721-99bc-aba3762689b9,Wheat,Storable Product,ad2cb229-e6e8-4af9-9110-a8aebcef0005,0,,2026-02-10 13:40:12.346492+00,2026-05-08 06:43:48.945391+00,f,t,Kilogram,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
b42f5aba-bf64-4373-9dd0-0bc0a021844f,Bardana Premium Bran,Storable Product,a916c862-b99d-4233-a20f-7faa25b15099,1.0147058823529411,,2026-02-10 13:13:08.765028+00,2026-05-08 06:47:13.562488+00,f,t,Unit,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
c2d8f1e5-89ec-4ca1-9452-d49e7536129b,Bardana Pizza Flour,Storable Product,a916c862-b99d-4233-a20f-7faa25b15099,1.7899999999999998,,2026-02-10 13:13:54.386587+00,2026-03-01 11:34:33.148657+00,f,t,Unit,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
beb3b0d6-40b9-4427-928e-9a820036f2bf,Bardana Al-Qamar Atta,Storable Product,a916c862-b99d-4233-a20f-7faa25b15099,17.993414020371482,,2026-02-10 13:09:57.235372+00,2026-04-09 12:23:29.807086+00,f,t,Unit,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
1dcaa77f-a4d8-43c0-9bf0-cdfc60081e79,Al-Qamar Atta,Storable Product,3ea27337-21f3-43f6-9af9-4dc236cdfe86,1.0479654587953187,6.8,2026-02-10 12:55:50.018392+00,2026-05-08 07:38:06.531275+00,t,f,Kilogram,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
0de2f238-ba43-4327-aedd-f37957f55b84,Premium Suji,Storable Product,1ad2cc4a-8706-41d6-9396-242cf82b1961,1.8308598824480757,2.4,2026-02-10 13:02:08.763453+00,2026-05-08 07:39:04.221891+00,t,f,Kilogram,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
95177135-6531-4c1c-924e-fb52e0a066c6,Bardana Premium Maida,Storable Product,a916c862-b99d-4233-a20f-7faa25b15099,0.9020250000000001,,2026-02-10 13:11:51.794662+00,2026-05-02 08:35:40.344991+00,f,t,Unit,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
56dcae71-e69c-47ed-a032-d97b1b6a4131,Premium Maida,Storable Product,913b6f57-4e5d-4b7d-bc3b-91339684163e,1.0348658905603771,2.25,2026-02-10 12:59:22.233433+00,2026-05-12 11:00:19.702974+00,t,f,Kilogram,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
1bd778b2-6f12-4723-94a5-bc8c2bd30b83,Bardana Premium Fine,Storable Product,a916c862-b99d-4233-a20f-7faa25b15099,0.86522375,,2026-02-10 13:12:25.679778+00,2026-04-23 10:46:16.948246+00,f,t,Unit,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
791dab05-effd-43cd-842b-2eca9a776288,Premium Fine,Storable Product,fdb8fe6f-0e36-4f14-bd9b-ab7f452fcaf0,1.0348658905603771,2.3,2026-02-10 12:59:56.33515+00,2026-05-12 11:00:20.220877+00,t,f,Kilogram,"","",0,0,t,04249cb9-eebf-426b-a9a4-e42aa57d2ee7,,,
